id,external_id,category_name
169,import.product_id_169,Home Lighting & Ceiling Fans
170,import.product_id_170,Kitchen & Dining
171,import.product_id_171,"Heating, Cooling & Air Quality"
172,import.product_id_172,Kids' Home Store
173,import.product_id_173,Home Storage & Organization
174,import.product_id_174,Wall Art
175,import.product_id_175,Vacuum Cleaners & Floor Care
176,import.product_id_176,Ironing Products
177,import.product_id_177,Party Supplies
178,import.product_id_178,Pet Bird Supplies
179,import.product_id_179,Cat Supplies
180,import.product_id_180,Dog Supplies
181,import.product_id_181,Fish & Aquatic Pets
182,import.product_id_182,Horse Supplies
183,import.product_id_183,Reptiles & Amphibian Supplies
184,import.product_id_184,Small Animal Supplies
185,import.product_id_185,Smart Home: New Smart Devices
186,import.product_id_186,Smart Home: Voice Assistants and Hubs
187,import.product_id_187,Smart Home: Smart Locks and Entry
188,import.product_id_188,Smart Home: Home Entertainment
189,import.product_id_189,Smart Home: WiFi and Networking
190,import.product_id_190,Smart Home: Security Cameras and Systems
191,import.product_id_191,Smart Home: Lighting
192,import.product_id_192,Smart Home: Plugs and Outlets
193,import.product_id_193,Smart Home: Vacuums and Mops
194,import.product_id_194,Smart Home Thermostats - Compatibility Checker
195,import.product_id_195,Smart Home: Lawn and Garden
196,import.product_id_196,Smart Home: Other Solutions
197,import.product_id_197,Smart Home - Heating & Cooling
198,import.product_id_198,Sports & Fitness
199,import.product_id_199,Outdoor Recreation
200,import.product_id_200,Sports & Outdoors
201,import.product_id_201,Home Appliances
203,import.product_id_203,Pumps & Plumbing Equipment
204,import.product_id_204,"Paint, Wall Treatments & Supplies"
205,import.product_id_205,Safety & Security
206,import.product_id_206,Light Bulbs
207,import.product_id_207,Power Tools & Hand Tools
208,import.product_id_208,Kitchen & Bath Fixtures
209,import.product_id_209,Lighting & Ceiling Fans
210,import.product_id_210,Electrical Equipment
211,import.product_id_211,Hardware
212,import.product_id_212,Building Supplies
213,import.product_id_213,Measuring & Layout
214,import.product_id_214,Welding & Soldering
215,import.product_id_215,Tools & Home Improvement
216,import.product_id_216,Kids' Party Supplies
217,import.product_id_217,Toy Figures & Playsets
218,import.product_id_218,Novelty Toys & Amusements
219,import.product_id_219,Arts & Crafts Supplies
220,import.product_id_220,Building Toys
221,import.product_id_221,Dolls & Accessories
222,import.product_id_222,Kids' Electronics
223,import.product_id_223,Games & Accessories
224,import.product_id_224,Learning & Education Toys
225,import.product_id_225,Kids' Dress Up & Pretend Play
226,import.product_id_226,Puppets & Puppet Theaters
227,import.product_id_227,Puzzles
228,import.product_id_228,Sports & Outdoor Play Toys
229,import.product_id_229,Stuffed Animals & Plush Toys
230,import.product_id_230,Baby & Toddler Toys
231,import.product_id_231,"Tricycles, Scooters & Wagons"
232,import.product_id_232,Finger Toys
233,import.product_id_233,Toy Vehicle Playsets
234,import.product_id_234,Kids' Play Trains & Trams
235,import.product_id_235,Kids' Play Trucks
236,import.product_id_236,Kids' Play Cars & Race Cars
237,import.product_id_237,Kids' Play Boats
238,import.product_id_238,Kids' Play Buses
239,import.product_id_239,Kids' Play Tractors
240,import.product_id_240,"Slot Cars, Race Tracks & Accessories"
241,import.product_id_241,"Sony PSP Games, Consoles & Accessories"
